xls,site_name,proxy,doi,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,,modern_latitude,modern_longitude
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1429.91,,,230.04,13.48,10.05,,-45.527,170.219
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1436.94,,,346.85,26.49,18.63,,-45.527,170.219
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1444.71,,,253.73,14,11.16,,9.79,39.65
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1451.37,,,282.46,16.78,12.48,,12.51,37.12
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1471.25,,,301.22,17.55,12.89,,50,-114
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1479.09,,,294.14,19.66,14.9,,50,-114
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1486.5,,,276.39,15.72,11.64,,50,-114
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1494.54,,,267.79,13.26,9.97,,50,-114
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1499.12,,,263.02,13.16,9.97,,50,-114
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1507.84,,,258.19,13.45,10.82,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1518.2,,,282.48,15.94,12.02,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1530.04,,,237.71,10.26,8.43,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1537.93,,,273.37,14.87,11.05,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1549.78,,,258.07,13.87,10.91,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1559.64,,,275.12,16.78,12.49,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1569.51,,,268.92,16.03,12.4,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1573.95,,,213.22,13.1,11.38,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1584.81,,,272.4,16.94,12.89,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1596.65,,,279.79,17.1,12.86,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1601.95,,,280.82,16.24,11.4,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1604.73,,,262.6,14.56,10.92,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1612.64,,,194.48,10.7,10.23,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1622.43,,,259.65,14.87,11.86,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1655.25,,,295.17,18.4,12.23,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1658.46,,,258.34,16.15,13.34,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1664.51,,,232.58,11.57,9.6,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1670.14,,,230.75,10.84,9.12,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1680.43,,,279.18,17.36,12.23,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1683.75,,,237.07,14.95,13.56,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1693.28,,,232.53,13.72,12.08,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1709.75,,,249.07,12.78,10.37,,32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1720.6,,,247.49,13.4,11.5,,39.38,-104.85
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1729.98,,,281.54,17.03,12.14,,39.38,-104.85
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1740.34,,,267.4,15.94,13.13,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1744.78,,,238.33,11.77,10.23,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1757.61,,,277.08,16.56,11.74,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1767.48,,,265.91,15.09,11.86,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1779.31,,,228.7,13.02,12.31,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1789.51,,,249.56,16.1,14.79,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1800.4,,,253.77,15.56,13.89,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1809.25,,,274.81,19.14,15.43,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1815.19,,,263.63,16.32,14.33,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1817.27,,,228.67,13.83,13.3,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1824.07,,,221.51,9.65,9.62,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1830,,,264.06,15.11,13.24,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1835.92,,,229.62,12.38,11.56,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1842.17,,,261.92,15.18,13.54,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1851,,,266.59,15.97,14.39,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1861.44,,,248.59,12.52,11.58,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1904.52,,,238.31,9.92,9.79,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,1920.65,,,265.48,14.21,13.22,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2017.33,,,276.7,15.86,14.7,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2035.91,,,273.25,12.71,12.09,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2055.34,,,237.57,10.18,10.46,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2160.96,,,212.87,9.24,12.49,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2191.97,,,201.94,7.98,13.54,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2199.38,,,250,12.26,12.65,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2218.03,,,227.8,15.16,16.17,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2233.61,,,233.4,11.33,12.36,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2251.71,,,265.49,13.59,13.15,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2256.42,,,231.55,8.27,14.99,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2259.85,,,231.14,10.74,12.35,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2263.92,,,235.88,8.17,17.78,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2263.92,,,225.29,12.36,13.7,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2268.73,,,250.5,13.51,13.71,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2283.53,,,222.64,8.32,15.13,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2294.63,,,224.53,13.79,14.99,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2299.82,,,223.99,10.66,12.39,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2316.84,,,268.67,13.9,13.36,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2321.62,,,237.22,12.11,13.01,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2346.21,,,261.43,16.35,16.18,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2350.94,,,204.6,12.8,14.03,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2357.97,,,232,17.42,17.92,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2373.14,,,219.8,13.11,13.97,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2379.78,,,231.24,12.34,13.28,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2380.66,,,229.56,13.61,14.75,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2504.12,,,205,11.47,13.81,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2674.01,,,216.95,9.49,15.71,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2746.38,,,200.46,11.22,15.1,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,2857.09,,,181.36,9.03,16.92,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3007.56,,,214.43,11.8,15.03,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3033.9,,,235.08,11.92,14.16,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3194,,,239.88,17.21,17.98,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3265.84,,,211.09,11.25,15.11,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3316.63,,,255.02,10.62,21.24,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3321.9,,,266.66,7.59,17.42,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3326.9,,,228.23,12.04,14.21,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3337.72,,,248.13,10.17,20.68,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3343.27,,,265.8,8.47,17.53,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3348.27,,,237.19,8.3,18.32,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3354.09,,,243.94,8.85,19.48,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3362.97,,,278.07,8.79,16.75,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3368.22,,,271.47,9.29,20.15,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3373.27,,,288.69,8.36,19.08,,4.20417,-43.48883
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,3382.88,,,310.17,10.35,14.64,,4.20417,-43.48883
